Cruise,Type,Station,yyyymmdd,Bot. Depth [m],Longitude [degrees_east],Latitude [degrees_north],"Pressure, Digiquartz [db]","Temperature [ITS-90, deg C]","Salinity, Practical [PSU]","Oxygen raw, SBE 43 [V]","Oxygen, SBE 43 [umol/kg]","Beam Attenuation, WET Labs C-Star [1/m]"," Beam Transmission, WET Labs C-Star [%]","Fluorescence, Chelsea Aqua 3 Chl Con [ug/l]","PAR/Irradiance, Biospherical/Licor","PAR/Irradiance, Biospherical/Licor 2","Turbidity, WET Labs ECO BB [m^-1/sr]"
AMTXXX,B,CTD002,20191016,140,-7.20367,48.52183,142.9890,12.3959,35.4802,2.0616,215.676,0.1120,97.2384,0.0687,1.0000E-12,3.4317E-05,6.5907E-04
AMTXXX,B,CTD002,20191016,120,-7.20367,48.52183,122.1660,12.4032,35.4812,2.0663,215.817,0.1153,97.1598,0.0690,1.5505E-02,3.1352E-05,7.3756E-04
AMTXXX,B,CTD002,20191016,100,-7.20367,48.52183,101.9780,12.4026,35.4815,2.0710,215.569,0.1174,97.1073,0.0675,1.8241E-01,1.0000E-12,7.3249E-04
AMTXXX,B,CTD002,20191016,70,-7.20367,48.52183,72.7020,12.4120,35.4781,2.0785,215.911,0.0992,97.5495,0.0696,1.4843E+00,1.5366E-02,4.9701E-04
AMTXXX,B,CTD002,20191016,35,-7.20367,48.52183,37.5950,14.9039,35.4275,2.2480,226.502,0.0736,98.1761,0.1902,9.2777E+00,2.5348E-01,1.6484E-04
AMTXXX,B,CTD002,20191016,5,-7.20367,48.52183,7.0240,15.8880,35.3720,2.3599,235.725,0.1471,96.3883,0.3253,4.4166E+01,1.0256E+00,2.0391E-04
AMTXXX,B,CTD002,20191016,2,-7.20367,48.52183,4.8640,15.8859,35.3720,2.3592,235.367,0.1493,96.3366,0.3481,5.0018E+01,1.1835E+00,2.2343E-04
AMTXXX,B,CTD004,20191018,2000,-13.88232,46.16550,2033.2900,3.8642,34.9840,1.6541,249.770,0.0072,99.8211,-0.0006,1.0000E-12,2.3725E-05,8.8311E-05
AMTXXX,B,CTD004,20191018,1500,-13.88232,46.16550,1521.5020,5.3351,35.1413,1.7129,236.058,0.0072,99.8215,0.0021,1.0000E-12,2.6691E-05,8.6159E-05
AMTXXX,B,CTD004,20191018,1000,-13.88232,46.16550,1016.8320,9.5820,35.7273,1.6136,182.456,0.0089,99.7767,0.0041,1.0000E-12,2.7115E-05,8.8417E-05
AMTXXX,B,CTD004,20191018,500,-13.88232,46.16550,506.6520,11.1120,35.5207,1.9171,210.625,0.0150,99.6251,0.0059,1.0000E-12,3.0504E-05,6.0072E-05
AMTXXX,B,CTD004,20191018,200,-13.88232,46.16550,203.5360,12.1273,35.5932,2.1701,233.353,0.0197,99.5085,0.0118,1.0000E-12,2.9233E-05,3.2111E-05
AMTXXX,B,CTD004,20191018,70,-13.88232,46.16550,67.4240,17.1067,35.6801,2.3454,229.533,0.0909,97.7529,0.2581,1.9788E+00,2.9538E-05,1.1932E-04
AMTXXX,B,CTD004,20191018,5,-13.88232,46.16550,7.5150,17.2067,35.6827,2.3601,229.325,0.0968,97.6096,0.2548,1.0604E+02,1.2959E+00,1.0084E-04
AMTXXX,B,CTD006,20191019,2000,-17.14783,43.91417,2032.9330,3.7513,34.9558,1.6745,254.963,0.0051,99.8743,-0.0001,1.0000E-12,3.6436E-05,7.6884E-05
AMTXXX,B,CTD006,20191019,1500,-17.14783,43.91417,1521.6850,4.5136,34.9968,1.7620,251.156,0.0062,99.8452,0.0041,1.0000E-12,3.4741E-05,8.0455E-05
AMTXXX,B,CTD006,20191019,1000,-17.14783,43.91417,1015.3940,9.1694,35.6767,1.6232,185.773,0.0078,99.8046,0.0043,1.0000E-12,3.1775E-05,8.0188E-05
AMTXXX,B,CTD006,20191019,500,-17.14783,43.91417,506.0010,11.1811,35.4744,1.9323,212.487,0.0131,99.6735,0.0047,1.0000E-12,3.6859E-05,4.1278E-05
AMTXXX,B,CTD006,20191019,200,-17.14783,43.91417,203.1080,12.8036,35.6610,2.1611,228.912,0.0194,99.5174,0.0129,1.0000E-12,3.6012E-05,-8.7110E-06
AMTXXX,B,CTD006,20191019,90,-17.14783,43.91417,92.6080,14.5221,35.7868,2.2736,232.608,0.0465,98.8434,0.1811,9.8456E-01,1.0000E-12,8.8664E-05
AMTXXX,B,CTD006,20191019,5,-17.14783,43.91417,12.4870,17.7682,35.8112,2.3770,228.770,0.1123,97.2320,0.2833,3.8218E+01,1.6103E+00,1.2143E-04
AMTXXX,B,CTD008,20191020,2000,-20.18851,41.46550,2033.3780,3.6355,34.9514,1.6730,255.464,0.0044,99.8909,0.0006,1.0000E-12,3.5588E-05,3.7707E-05
AMTXXX,B,CTD008,20191020,1500,-20.18851,41.46550,1522.3900,4.6690,35.0437,1.7484,247.324,0.0054,99.8651,0.0019,1.0000E-12,3.3470E-05,2.7229E-05
AMTXXX,B,CTD008,20191020,1000,-20.18851,41.46550,1016.5590,7.8233,35.4461,1.6641,198.955,0.0077,99.8089,0.0102,1.0000E-12,3.4741E-05,4.5950E-05
AMTXXX,B,CTD008,20191020,500,-20.18851,41.46550,506.6190,11.0657,35.4818,1.8359,198.506,0.0120,99.7004,0.0055,1.0000E-12,3.8130E-05,-7.4950E-05
AMTXXX,B,CTD008,20191020,200,-20.18851,41.46550,204.2130,13.0980,35.7071,2.1060,219.933,0.0160,99.5998,0.0083,3.3958E-02,1.6523E-05,-8.8610E-05
AMTXXX,B,CTD008,20191020,70,-20.18851,41.46550,73.3610,15.9250,35.9084,2.4478,247.957,0.0564,98.6011,0.3345,6.4897E+00,7.6898E-02,-6.8710E-05
AMTXXX,B,CTD008,20191020,5,-20.18851,41.46550,7.9460,19.5486,36.0223,2.3844,222.216,0.0485,98.7945,0.0340,4.5908E+02,7.7651E+00,5.7129E-05
AMTXXX,B,CTD011,20191023,2000,-27.62466,35.09133,2030.8250,3.6830,34.9875,1.6526,250.731,0.0043,99.8946,0.0066,1.0000E-12,3.2623E-05,-2.3690E-05
AMTXXX,B,CTD011,20191023,1500,-27.62466,35.09133,1520.4860,5.2266,35.1678,1.7048,235.058,0.0049,99.8783,0.0047,1.0000E-12,3.4741E-05,-6.3570E-05
AMTXXX,B,CTD011,20191023,1000,-27.62466,35.09133,1015.0170,8.6221,35.5903,1.6209,187.861,0.0083,99.7923,-0.0027,1.0000E-12,3.6436E-05,-1.2620E-04
AMTXXX,B,CTD011,20191023,500,-27.62466,35.09133,505.3870,11.4591,35.5600,1.7529,184.683,0.0120,99.6996,0.0027,1.0000E-12,3.6012E-05,1.6281E-02
AMTXXX,B,CTD011,20191023,200,-27.62466,35.09133,202.4360,15.2373,36.0345,2.0845,207.300,0.0187,99.5336,0.0078,4.4521E-02,1.2710E-05,1.2792E-02
AMTXXX,B,CTD011,20191023,90,-27.62466,35.09133,92.0430,17.5520,36.2563,2.3561,228.888,0.0492,98.7761,0.2224,5.4889E+00,5.8490E-02,-1.3640E-04
AMTXXX,B,CTD011,20191023,5,-27.62466,35.09133,6.7500,23.5817,36.6785,2.4053,208.584,0.0518,98.7136,0.0179,4.8944E+02,1.1679E+01,2.1422E-05
AMTXXX,B,CTD013,20191024,2000,-30.02383,32.40200,2030.2860,3.9924,35.0356,1.6320,244.003,0.0033,99.9174,-0.0018,1.0000E-12,3.1775E-05,-3.4050E-06
AMTXXX,B,CTD013,20191024,1500,-30.02383,32.40200,1520.2020,5.9457,35.2792,1.6460,219.115,0.0041,99.8980,0.0051,1.0000E-12,3.4317E-05,-6.6570E-05
AMTXXX,B,CTD013,20191024,1000,-30.02383,32.40200,1014.3600,8.5348,35.4723,1.5615,178.253,0.0074,99.8155,-0.0006,1.0000E-12,3.0504E-05,1.6282E-02
AMTXXX,B,CTD013,20191024,500,-30.02383,32.40200,505.6230,13.0042,35.7145,1.8040,185.874,0.0127,99.6825,0.0009,1.0000E-12,3.7707E-05,1.6282E-02
AMTXXX,B,CTD013,20191024,200,-30.02383,32.40200,202.0050,17.6171,36.4274,2.1018,199.825,0.0199,99.5036,0.0017,8.6832E-03,3.3046E-05,1.6280E-02
AMTXXX,B,CTD013,20191024,95,-30.02383,32.40200,97.1040,18.9096,36.5565,2.2493,210.034,0.0422,98.9494,0.1123,7.7368E-01,1.0000E-12,1.6280E-02
AMTXXX,B,CTD013,20191024,5,-30.02383,32.40200,6.6510,24.6741,36.8167,2.3968,203.670,0.0504,98.7463,0.0211,1.8573E+02,4.7780E+00,1.7051E-05
AMTXXX,B,CTD014,20191025,2000,-31.86084,30.26767,2029.2310,4.0502,35.0646,1.5936,235.254,0.0023,99.9424,0.0010,1.0000E-12,3.6436E-05,3.9476E-05
AMTXXX,B,CTD014,20191025,1500,-31.86084,30.26767,1519.7430,5.7332,35.2555,1.6288,217.131,0.0032,99.9193,0.0021,1.0000E-12,4.1520E-05,2.0621E-05
AMTXXX,B,CTD014,20191025,1000,-31.86084,30.26767,1014.1990,8.2986,35.4398,1.5395,175.656,0.0061,99.8476,0.0047,1.0000E-12,3.9401E-05,1.3847E-05
AMTXXX,B,CTD014,20191025,500,-31.86084,30.26767,506.3340,13.6222,35.8159,1.8088,184.148,0.0120,99.6987,-0.0240,1.0000E-12,3.9401E-05,2.2824E-05
AMTXXX,B,CTD014,20191025,200,-31.86084,30.26767,202.9060,18.0982,36.5053,2.1027,198.170,0.0197,99.5083,-0.0240,1.3102E-01,1.2710E-06,-1.3550E-04
AMTXXX,B,CTD014,20191025,115,-31.86084,30.26767,112.9840,19.8528,36.7407,2.3233,215.787,0.0414,98.9705,0.0812,7.0769E+00,8.8464E-02,5.3825E-05
AMTXXX,B,CTD014,20191025,5,-31.86084,30.26767,10.4380,25.1610,37.1856,2.3972,201.731,0.0502,98.7518,0.0178,7.1695E+01,5.8177E+00,5.4560E-05
AMTXXX,B,CTD016,20191026,2000,-33.68466,27.95417,2030.8290,4.1337,35.0790,1.5720,230.107,0.0020,99.9505,0.0005,1.0000E-12,2.7962E-05,-2.0460E-05
AMTXXX,B,CTD016,20191026,1500,-33.68466,27.95417,1520,5.8391,35.2593,1.5676,205.22301,0.0042,99.8952,-0.0027,1.0000E-12,1.0000E-12,-5E-06
AMTXXX,B,CTD016,20191026,1000,-33.68466,27.95417,1013.5640,8.0480,35.3404,1.4608,163.567,0.0061,99.8480,-0.0015,1.0000E-12,2.5420E-05,-1.8360E-05
AMTXXX,B,CTD016,20191026,500,-33.68466,27.95417,504.5910,13.5899,35.8394,1.7813,180.384,0.0121,99.6968,-0.0240,1.0000E-12,3.2623E-05,-6.0100E-05
AMTXXX,B,CTD016,20191026,200,-33.68466,27.95417,203.4560,18.6196,36.6455,2.0826,193.675,0.0188,99.5317,-0.0240,1.7215E-01,1.0000E-12,1.6279E-02
AMTXXX,B,CTD016,20191026,120,-33.68466,27.95417,126.1540,20.7128,36.9606,2.3523,215.784,0.0389,99.0322,-0.0240,4.9705E+00,5.7399E-02,1.6279E-02
AMTXXX,B,CTD016,20191026,5,-33.68466,27.95417,6.5620,25.3248,37.4482,2.3980,200.877,0.0505,98.7452,-0.0240,5.9479E+01,8.9735E+00,2.7596E-05
AMTXXX,B,CTD018,20191027,2000,-35.19482,26.13983,2030.9040,3.9560,35.0544,1.5503,226.486,0.0013,99.9665,-0.0006,1.0000E-12,2.6268E-05,-1.4200E-04
AMTXXX,B,CTD018,20191027,1500,-35.19482,26.13983,1519.1680,4.9878,35.1126,1.5875,213.423,0.0020,99.9505,0.0043,1.0000E-12,1.8641E-05,-1.3560E-04
AMTXXX,B,CTD018,20191027,1000,-35.19482,26.13983,1012.6870,7.2576,35.1973,1.4372,162.762,0.0043,99.8933,0.0000,1.0000E-12,2.4996E-05,1.6279E-02
AMTXXX,B,CTD018,20191027,500,-35.19482,26.13983,504.9890,13.6332,35.8469,1.7784,179.677,0.0113,99.7182,-0.0240,1.0000E-12,3.0081E-05,1.6280E-02
AMTXXX,B,CTD018,20191027,200,-35.19482,26.13983,201.9080,18.9029,36.6985,2.0426,187.603,0.0197,99.5093,-0.0240,1.0415E-01,1.0000E-12,1.6294E-02
AMTXXX,B,CTD018,20191027,120,-35.19482,26.13983,121.5070,21.2510,37.1095,2.3456,212.699,0.0392,99.0241,-0.0240,3.1956E+00,2.1991E-02,1.6280E-02
AMTXXX,B,CTD018,20191027,5,-35.19482,26.13983,6.0770,26.1417,37.6329,2.4027,198.403,0.0507,98.7416,-0.0240,2.8748E+02,9.1056E+00,4.0010E-05
AMTXXX,B,CTD020,20191028,2000,-37.69934,22.58767,2032.0260,3.9498,35.0253,1.5515,226.941,0.0013,99.9674,-0.0025,1.0000E-12,2.7115E-05,-9.1670E-05
AMTXXX,B,CTD020,20191028,1500,-37.69934,22.58767,1519.7530,5.0500,35.0548,1.5209,200.301,0.0025,99.9379,0.0049,1.0000E-12,2.7539E-05,-8.4190E-05
AMTXXX,B,CTD020,20191028,1000,-37.69934,22.58767,1012.8390,6.8136,35.0562,1.3013,140.904,0.0062,99.8440,0.0056,1.0000E-12,3.4741E-05,-1.3640E-04
AMTXXX,B,CTD020,20191028,500,-37.69934,22.58767,507.5700,12.7811,35.7147,1.4568,137.142,0.0115,99.7126,-0.0240,1.0000E-12,3.4317E-05,1.6282E-02
AMTXXX,B,CTD020,20191028,200,-37.69934,22.58767,203.7260,19.0640,36.7319,1.9032,170.231,0.0175,99.5624,-0.0240,1.7486E-01,1.0000E-12,1.6280E-02
AMTXXX,B,CTD020,20191028,105,-37.69934,22.58767,108.2000,22.7638,37.3177,2.3490,206.970,0.0410,98.9812,-0.0240,8.2203E+00,1.2930E-01,1.6280E-02
AMTXXX,B,CTD020,20191028,5,-37.69934,22.58767,7.4190,26.7385,37.5894,2.3978,196.134,0.0538,98.6640,-0.0240,5.0668E+02,1.4233E+01,2.3676E-06
AMTXXX,B,CTD021,20191029,2000,-34.77768,19.79867,2023.5860,3.7443,35.0068,1.5419,225.992,0.0151,99.6225,0.0098,1.0000E-12,2.3725E-05,-1.3640E-04
AMTXXX,B,CTD021,20191029,1500,-34.77768,19.79867,1512.9690,4.8742,35.0498,1.5146,199.643,0.0160,99.6009,0.0186,1.0000E-12,2.4573E-05,1.6278E-02
AMTXXX,B,CTD021,20191029,1000,-34.77768,19.79867,1005.9940,6.0994,34.9357,1.2817,140.007,0.0185,99.5398,0.0210,1.0000E-12,2.8810E-05,1.6278E-02
AMTXXX,B,CTD021,20191029,500,-34.77768,19.79867,500.5770,11.8782,35.5521,1.2188,105.106,0.0254,99.3671,0.0203,1.0000E-12,3.1775E-05,1.6366E-02
AMTXXX,B,CTD021,20191029,200,-34.77768,19.79867,196.7160,17.9489,36.5131,1.6929,147.520,0.0316,99.2137,0.0349,8.0266E-02,8.4734E-07,1.6298E-02
AMTXXX,B,CTD021,20191029,95,-34.77768,19.79867,96.3070,22.5550,37.1661,2.3458,207.227,0.0604,98.5013,0.1662,1.0963E+01,1.4852E-01,1.6281E-02
AMTXXX,B,CTD021,20191029,5,-34.77768,19.79867,4.8640,27.3079,36.9566,2.4077,195.738,0.0663,98.3568,0.0016,1.0085E+03,1.9424E+01,5.3525E-05
AMTXXX,B,CTD023,20191030,2000,-32.15134,17.27900,2029.5420,3.5689,34.9777,1.5507,229.344,0.0061,99.8482,0.0170,1.0000E-12,3.2199E-05,-1.0840E-04
AMTXXX,B,CTD023,20191030,1500,-32.15134,17.27900,1518.1870,4.5151,35.0147,1.5120,201.304,0.0070,99.8247,0.0090,1.0000E-12,3.4741E-05,-1.0830E-04
AMTXXX,B,CTD023,20191030,850,-32.15134,17.27900,860.3130,6.6870,34.9075,1.1607,114.426,0.0107,99.7333,0.0207,1.0000E-12,3.2623E-05,1.6278E-02
AMTXXX,B,CTD023,20191030,500,-32.15134,17.27900,506.2280,10.2274,35.2789,1.0507,83.798,0.0147,99.6325,0.0364,1.0000E-12,3.1775E-05,1.6366E-02
AMTXXX,B,CTD023,20191030,200,-32.15134,17.27900,202.4470,15.3738,36.0085,1.2990,104.547,0.0239,99.4064,0.0450,1.0000E-12,3.5165E-05,1.6280E-02
AMTXXX,B,CTD023,20191030,80,-32.15134,17.27900,81.4770,21.9938,36.7098,2.2781,201.961,0.0855,97.8855,0.3182,1.2604E+01,1.4237E-01,1.6280E-02
AMTXXX,B,CTD023,20191030,5,-32.15134,17.27900,6.9220,27.3795,36.7742,2.3999,195.197,0.0614,98.4761,0.0209,7.4511E+02,1.4627E+01,3.2835E-05
AMTXXX,B,CTD025,20191031,2000,-29.68433,14.73833,2031.1000,3.5557,34.9737,1.5216,223.004,0.0053,99.8666,0.0246,1.0000E-12,3.0928E-05,-1.3560E-04
AMTXXX,B,CTD025,20191031,1500,-29.68433,14.73833,1519.8580,4.4521,34.9953,1.4785,195.056,0.0063,99.8431,0.0165,1.0000E-12,2.9657E-05,1.6279E-02
AMTXXX,B,CTD025,20191031,850,-29.68433,14.73833,861.1010,6.5940,34.8621,1.1057,105.196,0.0093,99.7677,0.0300,1.0000E-12,2.7539E-05,1.6279E-02
AMTXXX,B,CTD025,20191031,500,-29.68433,14.73833,507.5020,9.8546,35.1389,0.9032,62.077,0.0153,99.6165,0.0369,1.0000E-12,2.9657E-05,1.6366E-02
AMTXXX,B,CTD025,20191031,170,-29.68433,14.73833,172.1530,14.6039,35.8509,1.2163,94.589,0.0199,99.5027,0.0390,6.3765E-02,4.6604E-06,1.6366E-02
AMTXXX,B,CTD025,20191031,72,-29.68433,14.73833,74.6540,21.2043,36.9246,2.1107,184.953,0.0910,97.7514,0.5091,1.6638E+01,1.8933E-01,1.6281E-02
AMTXXX,B,CTD025,20191031,5,-29.68433,14.73833,7.9910,27.5727,36.3882,2.3975,194.795,0.0690,98.2893,0.0294,7.4100E+02,1.3845E+01,-1.4420E-05
AMTXXX,B,CTD027,20191101,2000,-27.96017,11.84400,2030.3720,3.5394,34.9693,1.5607,231.580,0.0053,99.8670,0.0137,1.0000E-12,2.6691E-05,-1.3640E-04
AMTXXX,B,CTD027,20191101,1500,-27.96017,11.84400,1519.1200,4.4437,34.9741,1.5231,203.926,0.0051,99.8738,0.0191,1.0000E-12,2.9657E-05,1.6278E-02
AMTXXX,B,CTD027,20191101,900,-27.96017,11.84400,910.7430,5.7162,34.7483,1.1340,113.476,0.0093,99.7662,0.0302,1.0000E-12,2.9657E-05,1.6278E-02
AMTXXX,B,CTD027,20191101,450,-27.96017,11.84400,456.0660,9.4664,35.0361,0.8272,50.604,0.0158,99.6056,0.0395,1.0000E-12,3.1352E-05,1.6366E-02
AMTXXX,B,CTD027,20191101,170,-27.96017,11.84400,172.8040,11.7812,35.1772,1.1553,92.391,0.0197,99.5089,0.0449,1.0000E-12,3.1775E-05,1.6366E-02
AMTXXX,B,CTD027,20191101,50,-27.96017,11.84400,53.3190,18.0253,35.7454,1.6004,135.332,0.1352,96.6757,0.5624,1.8920E+01,1.6291E-01,1.1112E-04
AMTXXX,B,CTD027,20191101,5,-27.96017,11.84400,6.9110,28.0065,36.0941,2.4179,195.864,0.0820,97.9722,0.0597,7.1172E+02,1.1061E+01,4.1712E-05
AMTXXX,B,CTD029,20191102,2000,-26.19934,8.89167,2029.3080,3.5397,34.9626,1.5628,232.013,0.0051,99.8740,0.0113,1.0000E-12,2.3302E-05,1.6278E-02
